algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_bytes,patterns_found,support_float
cuFFIMiner,600000,10,43.751776933670044,988.828125,33427619840,7980,
naiveFFIMiner,600000,10,52.86587953567505,23452.0390625,33396162560,7980,60000.0
cuFFIMiner,700000,10,32.38423299789429,23516.265625,32718782464,5895,
naiveFFIMiner,700000,10,41.23650336265564,25262.4609375,32693616640,5895,70000.0
cuFFIMiner,800000,10,25.405644178390503,25262.4609375,32156745728,4543,
naiveFFIMiner,800000,10,33.807682275772095,26008.01953125,32144162816,4543,80000.0
